Command.global.aotd.desc,Like AOTD but for the whole bot,
Command.global.aotd.name,aotd,
Command.global.aoty.desc,Like AOTY but for the whole bot,
Command.global.aoty.name,aoty,
Command.global.artist.desc,Like artist command but for all the users in the bot,
Command.global.artist.name,artist,
Command.global.commandslb.desc,People that have run the most commands in the bot,
Command.global.commandslb.name,commandslb,
Command.global.decades.desc,Which decade are the bot albums from?,
Command.global.decades.name,decades,
Command.global.desc,Stats considering all the bot users,
Command.global.favs.desc,Favourite tracks from an artist on the bot,
Command.global.favs.name,favs,
Command.global.listeners.desc,Artists ranked by listeners on all servers that this bot handles,
Command.global.listeners.name,listeners,
Command.global.name,global,
Command.global.plays.desc,Artists ranked by total plays on all servers that this bot handles,
Command.global.plays.name,plays,
Command.global.rank.desc,An overview of your global ranking of an artist,
Command.global.rank.name,rank,
Command.global.song-rank.desc,An overview of your global ranking of an album,
Command.global.song-rank.name,song-rank,
Command.global.tracklist.desc,Plays on each track of the provided album by the whole bot,
Command.global.tracklist.name,tracklist,
Command.global.years.desc,Which year are the bot albums from?,
Command.global.years.name,years,
Command.globalwhoknows.desc,Like who knows but for all bot users and keeping some privacy :flushed:,
Command.globalwhoknows.name,globalwhoknows,
Command.gwkalbum.desc,Like who knows album but for all bot users and keeping some privacy,
Command.gwkalbum.name,gwkalbum,
Command.gwktrack.desc,Like who knows song but for all bot users and keeping some privacy,
Command.gwktrack.name,gwktrack,
Command.info.desc,Information about the bot,
Command.info.featured.desc,Info about the artist that appears on the bot status,
Command.info.featured.name,featured,
Command.info.github.desc,Source code of the bot,
Command.info.github.name,github,
Command.info.invite.desc,Invite the bot to other servers!,
Command.info.invite.name,invite,
Command.info.link.desc,Link to a user's last.fm page,
Command.info.link.name,link,
Command.info.name,info,
Command.info.search.desc,Search commands by name,
Command.info.search.name,search,
Command.info.stats.desc,Stats about the bot internals,
Command.info.stats.name,stats,
Command.info.support.desc,Link to the discord server where you can contact the bot developers,
Command.info.support.name,support,
Command.languages.desc,List of the languages you listen your music,
Command.languages.name,languages,
Command.leaderboard.albums.desc,Users of a server ranked by number of albums scrobbled,
Command.leaderboard.albums.name,albums,
Command.leaderboard.artists.desc,Users of a server ranked by number of artists scrobbled,
Command.leaderboard.artists.name,artists,
Command.leaderboard.commands.desc,People that have run the most commands in a server,
Command.leaderboard.commands.name,commands,
Command.leaderboard.desc,Server leaderboards,
Command.leaderboard.name,leaderboard,
Command.leaderboard.obscurity.desc,Gets how \*obscure\* your scrobbled artist are in relation with all the rest of the users of the server,
Command.leaderboard.obscurity.name,obscurity,
Command.leaderboard.scrobbles.desc,Users ordered by scrobbles,
Command.leaderboard.scrobbles.name,scrobbles,
Command.leaderboard.tracks.desc,Users of a server ranked by number of songs scrobbled,
Command.leaderboard.tracks.name,tracks,
Command.leaderboard.whoaudio.desc,Leaderboard of the different audio stats,
Command.leaderboard.whoaudio.name,whoaudio,
Command.leaderboard.whofirst.desc,Who listened first to an artist on a server,
Command.leaderboard.whofirst.name,whofirst,
Command.leaderboard.wholast.desc,Who listened last to an artist on a server,
Command.leaderboard.wholast.name,wholast,
Command.loona.desc,LOONA,
Command.loona.name,loona,
Command.love.desc,Loves a song on last.fm,
Command.love.name,love,
Command.loved-artist.desc,A list of all your loved songs,
Command.loved-artist.name,loved-artist,
Command.loved.desc,A list of all your loved songs,
Command.loved.name,loved,
Command.lyrics.desc,Gets lyrics from a given song,
Command.lyrics.name,lyrics,
Command.matching.desc,Users ordered by matching number of artists,
Command.matching.name,matching,
Command.milestone.desc,Which track was your #x scrobble?,
Command.milestone.name,milestone,
Command.moderation.albumyear.desc,Submit an album and its release year so it can be seen in the aoty command,
Command.moderation.albumyear.name,albumyear,
Command.moderation.aliasreview.desc,Aliases review,
Command.moderation.aliasreview.name,aliasreview,
Command.moderation.altalbumcover.desc,List the alternate covers for an album,
Command.moderation.altalbumcover.name,altalbumcover,
Command.moderation.altcover.desc,Gives an alt cover for a nsfw cover,
Command.moderation.altcover.name,altcover,
Command.moderation.banartisttag.desc,Bans a tag from an artist in the bot system,
Command.moderation.banartisttag.name,banartisttag,
Command.moderation.bantag.desc,Bans a tag from the bot system,
Command.moderation.bantag.name,bantag,
Command.moderation.botted.desc,Flags users as a botted account,
Command.moderation.botted.name,botted,
Command.moderation.coverlists.desc,All albums that have covers,
Command.moderation.coverlists.name,coverlists,
